Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Touchscreen,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand,os
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,No OS,1.86,202.1917392,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256GB SSD,AMD Radeon Pro 555,macOS,1.83,1430.0176175999998,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2,292.395312,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256GB SSD,Intel HD Graphics 615,macOS,0.92,739.867392,0,1,226.4155471693585,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,889.9917839999999,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2,436.6296,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512GB SSD,AMD Radeon Pro 560,macOS,1.83,1675.0166399999998,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 940MX,No OS,2.2,292.45392,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 940MX,No OS,2.2,292.45392,0,0,100.45466986113652,Intel Core i3,0,256,Nvidia,Others/No OS/Linux
Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8,256GB SSD,Nvidia GeForce 920MX ,No OS,2.2,292.45392,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Others/No OS/Linux
Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8,256GB SSD,Nvidia GeForce 920MX ,No OS,2.2,292.45392,0,0,100.45466986113652,Intel Core i3,0,256,Nvidia,Others/No OS/Linux
Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22,573.77232,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel HD Graphics 400,Windows 10,0.98,112.468752,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,585.49392,0,1,141.21199808219862,Intel Core i5,0,128,Nvidia,Windows
HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,No OS,1.86,151.20864,0,0,100.45466986113652,AMD Processor,500,0,AMD,Others/No OS/Linux
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62,479.99952,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.91,386.22672,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows 10,2.3,245.3565312,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,644.10192,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,468.864,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,760.73184,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,525.1276799999999,0,0,127.33567457123112,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89,143.5837392,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65,116.62991999999998,0,0,111.93520355955212,AMD Processor,0,0,AMD,Windows
HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500GB HDD,AMD Radeon 530,Windows 10,2.71,257.28912,0,0,127.33567457123112,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2,1095.38352,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35,584.90784,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44,145.93391999999997,0,0,111.93520355955212,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Intel HD Graphics 620,Linux,2.1,215.09136,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8,573.77232,0,1,127.33567457123112,Intel Core i5,0,128,AMD,Windows
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,286.4114352,0,0,100.45466986113652,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1,515.16432,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 620,Linux,2.0,227.98512,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65,878.53392,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB HDD,Nvidia GeForce 940MX,Linux,2.3,306.5139792,0,0,100.45466986113652,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2,399.70656,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77,585.49392,1,0,127.33567457123112,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8,256GB SSD,Intel Iris Graphics 540,macOS,1.37,831.6475199999999,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,No OS,2.2,216.26352,0,0,100.45466986113652,Intel Core i3,0,128,Intel,Others/No OS/Linux
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2,761.31792,0,0,127.33567457123112,AMD Processor,0,256,AMD,Windows
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3,374.50512,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8,273.11328,0,0,90.58340172449304,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64GB Flash Storage,Intel HD Graphics 400,Android,0.69,186.95952,1,1,224.1738090785728,Other Intel Processor,0,0,Intel,Others/No OS/Linux
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2,492.89328,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86,233.5470192,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,646.4462399999999,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,2.4,225.05472,0,0,100.45466986113652,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 520,Windows 10,2.13,449.992224,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128GB SSD,Intel HD Graphics 520,Windows 10,1.91,257.28912,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,343.5542352,0,0,100.45466986113652,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43,1435.30992,0,0,127.33567457123112,Intel Core i7,0,256,Nvidia,Windows
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Intel HD Graphics 520,Linux,2.0,243.2232,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others/No OS/Linux
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8,761.31792,0,0,127.33567457123112,Intel Core i7,0,256,AMD,Windows
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7,515.16432,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,No OS,1.7,351.06192,0,1,157.3505121487356,Intel Core i3,0,256,Intel,Others/No OS/Linux
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4,551.50128,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.86,404.39519999999993,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,1162.19664,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB HDD,AMD Radeon 520,Windows 10,1.86,257.1074352,0,0,100.45466986113652,Intel Core i3,500,0,AMD,Windows
HP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32GB SSD,Intel HD Graphics 400,Windows 10,1.44,134.21232,0,0,111.93520355955212,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB HDD,Intel HD Graphics 620,Windows 10,1.9,321.75792,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3.0,556.18992,0,0,127.33567457123112,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,638.2411199999999,1,0,200.84255993695703,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,1.4,559.7064,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,AMD Radeon 530,Windows 10,2.2,509.8896,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7,641.7575999999999,0,0,127.33567457123112,Intel Core i5,0,128,Nvidia,Windows
Acer,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1TB HDD,Intel HD Graphics 520,Windows 10,2.1,227.98512,0,0,111.93520355955212,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,556.18992,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2TB HDD,Intel HD Graphics 620,No OS,2.2,304.17552,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,Others/No OS/Linux
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02,501.0984,0,0,141.21199808219862,Intel Core i7,0,128,Intel,Windows
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2,310.6224,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5,572.60016,0,0,127.33567457123112,Intel Core i5,0,128,Nvidia,Windows
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88,642.4374528,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512GB SSD,Intel HD Graphics 615,macOS,0.92,884.9807999999999,0,1,226.4155471693585,Intel Core i5,0,512,Intel,Mac
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.63,504.0288,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD R4 Graphics,Windows 10,2.2,233.84592,0,0,141.21199808219862,AMD Processor,0,128,AMD,Windows
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128GB SSD,AMD R4 Graphics,Windows 10,2.2,233.84592,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 2.9GHz,4,256GB SSD,AMD Radeon 530,Windows 10,2.2,233.84592,0,0,141.21199808219862,AMD Processor,0,128,AMD,Windows
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 2.9GHz,4,256GB SSD,AMD Radeon 530,Windows 10,2.2,233.84592,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB HDD,AMD Radeon R5,Windows 10,2.1,231.5016,0,0,100.45466986113652,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,790.6219199999999,0,1,141.21199808219862,Intel Core i7,0,128,Nvidia,Windows
HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83,409.66992,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.96,351.0560592,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,849.22992,0,1,141.21199808219862,Intel Core i7,0,128,Nvidia,Windows
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.21,966.44592,0,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8,1TB HDD,AMD Radeon RX 560,Windows 10,2.45,409.66992,0,0,141.21199808219862,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB HDD,Nvidia GeForce MX150,Windows 10,2.2,403.80912,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49,701.53776,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB SSD,Nvidia GeForce GTX 1060,Windows 10,2.65,700.3656,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.25,614.79792,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,1.5,496.40976,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB HDD,AMD Radeon R5 M430,Linux,2.2,351.589392,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Others/No OS/Linux
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,Linux,2.2,284.2488,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Others/No OS/Linux
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6,256GB SSD,Nvidia GeForce 920M,Windows 10,2.0,338.16816,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62,732.01392,0,1,141.21199808219862,Intel Core i7,0,128,Nvidia,Windows
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon 530,Windows 10,1.91,421.39152,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,Windows 10,2.1,204.54192,0,0,141.21199808219862,AMD Processor,500,0,AMD,Windows
HP,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,Windows 10,2.1,204.54192,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,No OS,2.1,204.54192,0,0,141.21199808219862,AMD Processor,500,0,AMD,Windows
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,No OS,2.1,204.54192,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others/No OS/Linux
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB HDD,AMD Radeon 520,Linux,2.2,379.19376,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Others/No OS/Linux
HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce MX150,Windows 10,1.38,655.8235199999999,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10 S,1.252,785.3471999999999,1,0,200.84255993695703,Intel Core i5,0,256,Intel,Windows
HP,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.58,386.22672,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.3,699.19344,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,761.31792,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1.58,867.3983999999999,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce MX150,Windows 10,1.5,739.6329599999999,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
